"Código Municipio","Nombre Departamento","Nombre Municipio"
"05001","ANTIOQUIA","MEDELLÍN"
"05002","ANTIOQUIA","ABEJORRAL"
"05004","ANTIOQUIA","ABRIAQUÍ"
"05021","ANTIOQUIA","ALEJANDRÍA"
"05030","ANTIOQUIA","AMAGÁ"
"05031","ANTIOQUIA","AMALFI"
"05034","ANTIOQUIA","ANDES"
"05036","ANTIOQUIA","ANGELÓPOLIS"
"05038","ANTIOQUIA","ANGOSTURA"
"05040","ANTIOQUIA","ANORÍ"
"05042","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA"
"05044","ANTIOQUIA","ANZÁ"
"05045","ANTIOQUIA","APARTADÓ"
"05051","ANTIOQUIA","ARBOLETES"
"05055","ANTIOQUIA","ARGELIA"
"05059","ANTIOQUIA","ARMENIA"
"05079","ANTIOQUIA","BARBOSA"
"05086","ANTIOQUIA","BELMIRA"
"05088","ANTIOQUIA","BELLO"
"05091","ANTIOQUIA","BETANIA"
"05093","ANTIOQUIA","BETULIA"
"05101","ANTIOQUIA","CIUDAD BOLÍVAR"
"05107","ANTIOQUIA","BRICEÑO"
"05113","ANTIOQUIA","BURITICÁ"
"05120","ANTIOQUIA","CÁCERES"
"05125","ANTIOQUIA","CAICEDO"
"05129","ANTIOQUIA","CALDAS"
"05134","ANTIOQUIA","CAMPAMENTO"
"05138","ANTIOQUIA","CAÑASGORDAS"
"05142","ANTIOQUIA","CARACOLÍ"
"05145","ANTIOQUIA","CARAMANTA"
"05147","ANTIOQUIA","CAREPA"
"05148","ANTIOQUIA","EL CARMEN DE VIBORAL"
"05150","ANTIOQUIA","CAROLINA"
"05154","ANTIOQUIA","CAUCASIA"
"05172","ANTIOQUIA","CHIGORODÓ"
"05190","ANTIOQUIA","CISNEROS"
"05197","ANTIOQUIA","COCORNÁ"
"05206","ANTIOQUIA","CONCEPCIÓN"
"05209","ANTIOQUIA","CONCORDIA"
"05212","ANTIOQUIA","COPACABANA"
"05234","ANTIOQUIA","DABEIBA"
"05237","ANTIOQUIA","DONMATÍAS"
"05240","ANTIOQUIA","EBÉJICO"
"05250","ANTIOQUIA","EL BAGRE"
"05264","ANTIOQUIA","ENTRERRÍOS"
"05266","ANTIOQUIA","ENVIGADO"
"05282","ANTIOQUIA","FREDONIA"
"05284","ANTIOQUIA","FRONTINO"
"05306","ANTIOQUIA","GIRALDO"
"05308","ANTIOQUIA","GIRARDOTA"
"05310","ANTIOQUIA","GÓMEZ PLATA"
"05313","ANTIOQUIA","GRANADA"
"05315","ANTIOQUIA","GUADALUPE"
"05318","ANTIOQUIA","GUARNE"
"05321","ANTIOQUIA","GUATAPÉ"
"05347","ANTIOQUIA","HELICONIA"
"05353","ANTIOQUIA","HISPANIA"
"05360","ANTIOQUIA","ITAGÜÍ"
"05361","ANTIOQUIA","ITUANGO"
"05364","ANTIOQUIA","JARDÍN"
"05368","ANTIOQUIA","JERICÓ"
"05376","ANTIOQUIA","LA CEJA"
"05380","ANTIOQUIA","LA ESTRELLA"
"05390","ANTIOQUIA","LA PINTADA"
"05400","ANTIOQUIA","LA UNIÓN"
"05411","ANTIOQUIA","LIBORINA"
"05425","ANTIOQUIA","MACEO"
"05440","ANTIOQUIA","MARINILLA"
"05467","ANTIOQUIA","MONTEBELLO"
"05475","ANTIOQUIA","MURINDÓ"
"05480","ANTIOQUIA","MUTATÁ"
"05483","ANTIOQUIA","NARIÑO"
"05490","ANTIOQUIA","NECOCLÍ"
"05495","ANTIOQUIA","NECHÍ"
"05501","ANTIOQUIA","OLAYA"
"05541","ANTIOQUIA","PEÑOL"
"05543","ANTIOQUIA","PEQUE"
"05576","ANTIOQUIA","PUEBLORRICO"
"05579","ANTIOQUIA","PUERTO BERRÍO"
"05585","ANTIOQUIA","PUERTO NARE"
"05591","ANTIOQUIA","PUERTO TRIUNFO"
"05604","ANTIOQUIA","REMEDIOS"
"05607","ANTIOQUIA","RETIRO"
"05615","ANTIOQUIA","RIONEGRO"
"05628","ANTIOQUIA","SABANALARGA"
"05631","ANTIOQUIA","SABANETA"
"05642","ANTIOQUIA","SALGAR"
"05647","ANTIOQUIA","SAN ANDRÉS DE CUERQUÍA"
"05649","ANTIOQUIA","SAN CARLOS"
"05652","ANTIOQUIA","SAN FRANCISCO"
"05656","ANTIOQUIA","SAN JERÓNIMO"
"05658","ANTIOQUIA","SAN JOSÉ DE LA MONTAÑA"
"05659","ANTIOQUIA","SAN JUAN DE URABÁ"
"05660","ANTIOQUIA","SAN LUIS"
"05664","ANTIOQUIA","SAN PEDRO DE LOS MILAGROS"
"05665","ANTIOQUIA","SAN PEDRO DE URABÁ"
"05667","ANTIOQUIA","SAN RAFAEL"
"05670","ANTIOQUIA","SAN ROQUE"
"05674","ANTIOQUIA","SAN VICENTE FERRER"
"05679","ANTIOQUIA","SANTA BÁRBARA"
"05686","ANTIOQUIA","SANTA ROSA DE OSOS"
"05690","ANTIOQUIA","SANTO DOMINGO"
"05697","ANTIOQUIA","EL SANTUARIO"
"05736","ANTIOQUIA","SEGOVIA"
"05756","ANTIOQUIA","SONSÓN"
"05761","ANTIOQUIA","SOPETRÁN"
"05789","ANTIOQUIA","TÁMESIS"
"05790","ANTIOQUIA","TARAZÁ"
"05792","ANTIOQUIA","TARSO"
"05809","ANTIOQUIA","TITIRIBÍ"
"05819","ANTIOQUIA","TOLEDO"
"05837","ANTIOQUIA","TURBO"
"05842","ANTIOQUIA","URAMITA"
"05847","ANTIOQUIA","URRAO"
"05854","ANTIOQUIA","VALDIVIA"
"05856","ANTIOQUIA","VALPARAÍSO"
"05858","ANTIOQUIA","VEGACHÍ"
"05861","ANTIOQUIA","VENECIA"
"05873","ANTIOQUIA","VIGÍA DEL FUERTE"
"05885","ANTIOQUIA","YALÍ"
"05887","ANTIOQUIA","YARUMAL"
"05890","ANTIOQUIA","YOLOMBÓ"
"05893","ANTIOQUIA","YONDÓ"
"05895","ANTIOQUIA","ZARAGOZA"
"08001","ATLÁNTICO","BARRANQUILLA"
"08078","ATLÁNTICO","BARANOA"
"08137","ATLÁNTICO","CAMPO DE LA CRUZ"
"08141","ATLÁNTICO","CANDELARIA"
"08296","ATLÁNTICO","GALAPA"
"08372","ATLÁNTICO","JUAN DE ACOSTA"
"08421","ATLÁNTICO","LURUACO"
"08433","ATLÁNTICO","MALAMBO"
"08436","ATLÁNTICO","MANATÍ"
"08520","ATLÁNTICO","PALMAR DE VARELA"
"08549","ATLÁNTICO","PIOJÓ"
"08558","ATLÁNTICO","POLONUEVO"
"08560","ATLÁNTICO","PONEDERA"
"08573","ATLÁNTICO","PUERTO COLOMBIA"
"08606","ATLÁNTICO","REPELÓN"
"08634","ATLÁNTICO","SABANAGRANDE"
"08638","ATLÁNTICO","SABANALARGA"
"08675","ATLÁNTICO","SANTA LUCÍA"
"08685","ATLÁNTICO","SANTO TOMÁS"
"08758","ATLÁNTICO","SOLEDAD"
"08770","ATLÁNTICO","SUAN"
"08832","ATLÁNTICO","TUBARÁ"
"08849","ATLÁNTICO","USIACURÍ"
"11001","BOGOTÁ, D.C.","BOGOTÁ, D.C."
"13001","BOLÍVAR","CARTAGENA DE INDIAS"
"13006","BOLÍVAR","ACHÍ"
"13030","BOLÍVAR","ALTOS DEL ROSARIO"
"13042","BOLÍVAR","ARENAL"
"13052","BOLÍVAR","ARJONA"
"13062","BOLÍVAR","ARROYOHONDO"
"13074","BOLÍVAR","BARRANCO DE LOBA"
"13140","BOLÍVAR","CALAMAR"
"13160","BOLÍVAR","CANTAGALLO"
"13188","BOLÍVAR","CICUCO"
"13212","BOLÍVAR","CÓRDOBA"
"13222","BOLÍVAR","CLEMENCIA"
"13244","BOLÍVAR","EL CARMEN DE BOLÍVAR"
"13248","BOLÍVAR","EL GUAMO"
"13268","BOLÍVAR","EL PEÑÓN"
"13300","BOLÍVAR","HATILLO DE LOBA"
"13430","BOLÍVAR","MAGANGUÉ"
"13433","BOLÍVAR","MAHATES"
"13440","BOLÍVAR","MARGARITA"
"13442","BOLÍVAR","MARÍA LA BAJA"
"13458","BOLÍVAR","MONTECRISTO"
"13468","BOLÍVAR","SANTA CRUZ DE MOMPOX"
"13473","BOLÍVAR","MORALES"
"13490","BOLÍVAR","NOROSÍ"
"13549","BOLÍVAR","PINILLOS"
"13580","BOLÍVAR","REGIDOR"
"13600","BOLÍVAR","RÍO VIEJO"
"13620","BOLÍVAR","SAN CRISTÓBAL"
"13647","BOLÍVAR","SAN ESTANISLAO"
"13650","BOLÍVAR","SAN FERNANDO"
"13654","BOLÍVAR","SAN JACINTO"
"13655","BOLÍVAR","SAN JACINTO DEL CAUCA"
"13657","BOLÍVAR","SAN JUAN NEPOMUCENO"
"13667","BOLÍVAR","SAN MARTÍN DE LOBA"
"13670","BOLÍVAR","SAN PABLO"
"13673","BOLÍVAR","SANTA CATALINA"
"13683","BOLÍVAR","SANTA ROSA"
"13688","BOLÍVAR","SANTA ROSA DEL SUR"
"13744","BOLÍVAR","SIMITÍ"
"13760","BOLÍVAR","SOPLAVIENTO"
"13780","BOLÍVAR","TALAIGUA NUEVO"
"13810","BOLÍVAR","TIQUISIO"
"13836","BOLÍVAR","TURBACO"
"13838","BOLÍVAR","TURBANÁ"
"13873","BOLÍVAR","VILLANUEVA"
"13894","BOLÍVAR","ZAMBRANO"
"15001","BOYACÁ","TUNJA"
"15022","BOYACÁ","ALMEIDA"
"15047","BOYACÁ","AQUITANIA"
"15051","BOYACÁ","ARCABUCO"
"15087","BOYACÁ","BELÉN"
"15090","BOYACÁ","BERBEO"
"15092","BOYACÁ","BETÉITIVA"
"15097","BOYACÁ","BOAVITA"
"15104","BOYACÁ","BOYACÁ"
"15106","BOYACÁ","BRICEÑO"
"15109","BOYACÁ","BUENAVISTA"
"15114","BOYACÁ","BUSBANZÁ"
"15131","BOYACÁ","CALDAS"
"15135","BOYACÁ","CAMPOHERMOSO"
"15162","BOYACÁ","CERINZA"
"15172","BOYACÁ","CHINAVITA"
"15176","BOYACÁ","CHIQUINQUIRÁ"
"15180","BOYACÁ","CHISCAS"
"15183","BOYACÁ","CHITA"
"15185","BOYACÁ","CHITARAQUE"
"15187","BOYACÁ","CHIVATÁ"
"15189","BOYACÁ","CIÉNEGA"
"15204","BOYACÁ","CÓMBITA"
"15212","BOYACÁ","COPER"
"15215","BOYACÁ","CORRALES"
"15218","BOYACÁ","COVARACHÍA"
"15223","BOYACÁ","CUBARÁ"
"15224","BOYACÁ","CUCAITA"
"15226","BOYACÁ","CUÍTIVA"
"15232","BOYACÁ","CHÍQUIZA"
"15236","BOYACÁ","CHIVOR"
"15238","BOYACÁ","DUITAMA"
"15244","BOYACÁ","EL COCUY"
"15248","BOYACÁ","EL ESPINO"
"15272","BOYACÁ","FIRAVITOBA"
"15276","BOYACÁ","FLORESTA"
"15293","BOYACÁ","GACHANTIVÁ"
"15296","BOYACÁ","GÁMEZA"
"15299","BOYACÁ","GARAGOA"
"15317","BOYACÁ","GUACAMAYAS"
"15322","BOYACÁ","GUATEQUE"
"15325","BOYACÁ","GUAYATÁ"
"15332","BOYACÁ","GÜICÁN DE LA SIERRA"
"15362","BOYACÁ","IZA"
"15367","BOYACÁ","JENESANO"
"15368","BOYACÁ","JERICÓ"
"15377","BOYACÁ","LABRANZAGRANDE"
"15380","BOYACÁ","LA CAPILLA"
"15401","BOYACÁ","LA VICTORIA"
"15403","BOYACÁ","LA UVITA"
"15407","BOYACÁ","VILLA DE LEYVA"
"15425","BOYACÁ","MACANAL"
"15442","BOYACÁ","MARIPÍ"
"15455","BOYACÁ","MIRAFLORES"
"15464","BOYACÁ","MONGUA"
"15466","BOYACÁ","MONGUÍ"
"15469","BOYACÁ","MONIQUIRÁ"
"15476","BOYACÁ","MOTAVITA"
"15480","BOYACÁ","MUZO"
"15491","BOYACÁ","NOBSA"
"15494","BOYACÁ","NUEVO COLÓN"
"15500","BOYACÁ","OICATÁ"
"15507","BOYACÁ","OTANCHE"
"15511","BOYACÁ","PACHAVITA"
"15514","BOYACÁ","PÁEZ"
"15516","BOYACÁ","PAIPA"
"15518","BOYACÁ","PAJARITO"
"15522","BOYACÁ","PANQUEBA"
"15531","BOYACÁ","PAUNA"
"15533","BOYACÁ","PAYA"
"15537","BOYACÁ","PAZ DE RÍO"
"15542","BOYACÁ","PESCA"
"15550","BOYACÁ","PISBA"
"15572","BOYACÁ","PUERTO BOYACÁ"
"15580","BOYACÁ","QUÍPAMA"
"15599","BOYACÁ","RAMIRIQUÍ"
"15600","BOYACÁ","RÁQUIRA"
"15621","BOYACÁ","RONDÓN"
"15632","BOYACÁ","SABOYÁ"
"15638","BOYACÁ","SÁCHICA"
"15646","BOYACÁ","SAMACÁ"
"15660","BOYACÁ","SAN EDUARDO"
"15664","BOYACÁ","SAN JOSÉ DE PARE"
"15667","BOYACÁ","SAN LUIS DE GACENO"
"15673","BOYACÁ","SAN MATEO"
"15676","BOYACÁ","SAN MIGUEL DE SEMA"
"15681","BOYACÁ","SAN PABLO DE BORBUR"
"15686","BOYACÁ","SANTANA"
"15690","BOYACÁ","SANTA MARÍA"
"15693","BOYACÁ","SANTA ROSA DE VITERBO"
"15696","BOYACÁ","SANTA SOFÍA"
"15720","BOYACÁ","SATIVANORTE"
"15723","BOYACÁ","SATIVASUR"
"15740","BOYACÁ","SIACHOQUE"
"15753","BOYACÁ","SOATÁ"
"15755","BOYACÁ","SOCOTÁ"
"15757","BOYACÁ","SOCHA"
"15759","BOYACÁ","SOGAMOSO"
"15761","BOYACÁ","SOMONDOCO"
"15762","BOYACÁ","SORA"
"15763","BOYACÁ","SOTAQUIRÁ"
"15764","BOYACÁ","SORACÁ"
"15774","BOYACÁ","SUSACÓN"
"15776","BOYACÁ","SUTAMARCHÁN"
"15778","BOYACÁ","SUTATENZA"
"15790","BOYACÁ","TASCO"
"15798","BOYACÁ","TENZA"
"15804","BOYACÁ","TIBANÁ"
"15806","BOYACÁ","TIBASOSA"
"15808","BOYACÁ","TINJACÁ"
"15810","BOYACÁ","TIPACOQUE"
"15814","BOYACÁ","TOCA"
"15816","BOYACÁ","TOGÜÍ"
"15820","BOYACÁ","TÓPAGA"
"15822","BOYACÁ","TOTA"
"15832","BOYACÁ","TUNUNGUÁ"
"15835","BOYACÁ","TURMEQUÉ"
"15837","BOYACÁ","TUTA"
"15839","BOYACÁ","TUTAZÁ"
"15842","BOYACÁ","ÚMBITA"
"15861","BOYACÁ","VENTAQUEMADA"
"15879","BOYACÁ","VIRACACHÁ"
"15897","BOYACÁ","ZETAQUIRA"
"17001","CALDAS","MANIZALES"
"17013","CALDAS","AGUADAS"
"17042","CALDAS","ANSERMA"
"17050","CALDAS","ARANZAZU"
"17088","CALDAS","BELALCÁZAR"
"17174","CALDAS","CHINCHINÁ"
"17272","CALDAS","FILADELFIA"
"17380","CALDAS","LA DORADA"
"17388","CALDAS","LA MERCED"
"17433","CALDAS","MANZANARES"
"17442","CALDAS","MARMATO"
"17444","CALDAS","MARQUETALIA"
"17446","CALDAS","MARULANDA"
"17486","CALDAS","NEIRA"
"17495","CALDAS","NORCASIA"
"17513","CALDAS","PÁCORA"
"17524","CALDAS","PALESTINA"
"17541","CALDAS","PENSILVANIA"
"17614","CALDAS","RIOSUCIO"
"17616","CALDAS","RISARALDA"
"17653","CALDAS","SALAMINA"
"17662","CALDAS","SAMANÁ"
"17665","CALDAS","SAN JOSÉ"
"17777","CALDAS","SUPÍA"
"17867","CALDAS","VICTORIA"
"17873","CALDAS","VILLAMARÍA"
"17877","CALDAS","VITERBO"
"18001","CAQUETÁ","FLORENCIA"
"18029","CAQUETÁ","ALBANIA"
"18094","CAQUETÁ","BELÉN DE LOS ANDAQUÍES"
"18150","CAQUETÁ","CARTAGENA DEL CHAIRÁ"
"18205","CAQUETÁ","CURILLO"
"18247","CAQUETÁ","EL DONCELLO"
"18256","CAQUETÁ","EL PAUJÍL"
"18410","CAQUETÁ","LA MONTAÑITA"
"18460","CAQUETÁ","MILÁN"
"18479","CAQUETÁ","MORELIA"
"18592","CAQUETÁ","PUERTO RICO"
"18610","CAQUETÁ","SAN JOSÉ DEL FRAGUA"
"18753","CAQUETÁ","SAN VICENTE DEL CAGUÁN"
"18756","CAQUETÁ","SOLANO"
"18785","CAQUETÁ","SOLITA"
"18860","CAQUETÁ","VALPARAÍSO"
"19001","CAUCA","POPAYÁN"
"19022","CAUCA","ALMAGUER"
"19050","CAUCA","ARGELIA"
"19075","CAUCA","BALBOA"
"19100","CAUCA","BOLÍVAR"
"19110","CAUCA","BUENOS AIRES"
"19130","CAUCA","CAJIBÍO"
"19137","CAUCA","CALDONO"
"19142","CAUCA","CALOTO"
"19212","CAUCA","CORINTO"
"19256","CAUCA","EL TAMBO"
"19290","CAUCA","FLORENCIA"
"19300","CAUCA","GUACHENÉ"
"19318","CAUCA","GUAPI"
"19355","CAUCA","INZÁ"
"19364","CAUCA","JAMBALÓ"
"19392","CAUCA","LA SIERRA"
"19397","CAUCA","LA VEGA"
"19418","CAUCA","LÓPEZ DE MICAY"
"19450","CAUCA","MERCADERES"
"19455","CAUCA","MIRANDA"
"19473","CAUCA","MORALES"
"19513","CAUCA","PADILLA"
"19517","CAUCA","PÁEZ"
"19532","CAUCA","PATÍA"
"19533","CAUCA","PIAMONTE"
"19548","CAUCA","PIENDAMÓ - TUNÍA"
"19573","CAUCA","PUERTO TEJADA"
"19585","CAUCA","PURACÉ"
"19622","CAUCA","ROSAS"
"19693","CAUCA","SAN SEBASTIÁN"
"19698","CAUCA","SANTANDER DE QUILICHAO"
"19701","CAUCA","SANTA ROSA"
"19743","CAUCA","SILVIA"
"19760","CAUCA","SOTARÁ - PAISPAMBA"
"19780","CAUCA","SUÁREZ"
"19785","CAUCA","SUCRE"
"19807","CAUCA","TIMBÍO"
"19809","CAUCA","TIMBIQUÍ"
"19821","CAUCA","TORIBÍO"
"19824","CAUCA","TOTORÓ"
"19845","CAUCA","VILLA RICA"
"20001","CESAR","VALLEDUPAR"
"20011","CESAR","AGUACHICA"
"20013","CESAR","AGUSTÍN CODAZZI"
"20032","CESAR","ASTREA"
"20045","CESAR","BECERRIL"
"20060","CESAR","BOSCONIA"
"20175","CESAR","CHIMICHAGUA"
"20178","CESAR","CHIRIGUANÁ"
"20228","CESAR","CURUMANÍ"
"20238","CESAR","EL COPEY"
"20250","CESAR","EL PASO"
"20295","CESAR","GAMARRA"
"20310","CESAR","GONZÁLEZ"
"20383","CESAR","LA GLORIA"
"20400","CESAR","LA JAGUA DE IBIRICO"
"20443","CESAR","MANAURE BALCÓN DEL CESAR"
"20517","CESAR","PAILITAS"
"20550","CESAR","PELAYA"
"20570","CESAR","PUEBLO BELLO"
"20614","CESAR","RÍO DE ORO"
"20621","CESAR","LA PAZ"
"20710","CESAR","SAN ALBERTO"
"20750","CESAR","SAN DIEGO"
"20770","CESAR","SAN MARTÍN"
"20787","CESAR","TAMALAMEQUE"
"23001","CÓRDOBA","MONTERÍA"
"23068","CÓRDOBA","AYAPEL"
"23079","CÓRDOBA","BUENAVISTA"
"23090","CÓRDOBA","CANALETE"
"23162","CÓRDOBA","CERETÉ"
"23168","CÓRDOBA","CHIMÁ"
"23182","CÓRDOBA","CHINÚ"
"23189","CÓRDOBA","CIÉNAGA DE ORO"
"23300","CÓRDOBA","COTORRA"
"23350","CÓRDOBA","LA APARTADA"
"23417","CÓRDOBA","LORICA"
"23419","CÓRDOBA","LOS CÓRDOBAS"
"23464","CÓRDOBA","MOMIL"
"23466","CÓRDOBA","MONTELÍBANO"
"23500","CÓRDOBA","MOÑITOS"
"23555","CÓRDOBA","PLANETA RICA"
"23570","CÓRDOBA","PUEBLO NUEVO"
"23574","CÓRDOBA","PUERTO ESCONDIDO"
"23580","CÓRDOBA","PUERTO LIBERTADOR"
"23586","CÓRDOBA","PURÍSIMA DE LA CONCEPCIÓN"
"23660","CÓRDOBA","SAHAGÚN"
"23670","CÓRDOBA","SAN ANDRÉS DE SOTAVENTO"
"23672","CÓRDOBA","SAN ANTERO"
"23675","CÓRDOBA","SAN BERNARDO DEL VIENTO"
"23678","CÓRDOBA","SAN CARLOS"
"23682","CÓRDOBA","SAN JOSÉ DE URÉ"
"23686","CÓRDOBA","SAN PELAYO"
"23807","CÓRDOBA","TIERRALTA"
"23815","CÓRDOBA","TUCHÍN"
"23855","CÓRDOBA","VALENCIA"
"25001","CUNDINAMARCA","AGUA DE DIOS"
"25019","CUNDINAMARCA","ALBÁN"
"25035","CUNDINAMARCA","ANAPOIMA"
"25040","CUNDINAMARCA","ANOLAIMA"
"25053","CUNDINAMARCA","ARBELÁEZ"
"25086","CUNDINAMARCA","BELTRÁN"
"25095","CUNDINAMARCA","BITUIMA"
"25099","CUNDINAMARCA","BOJACÁ"
"25120","CUNDINAMARCA","CABRERA"
"25123","CUNDINAMARCA","CACHIPAY"
"25126","CUNDINAMARCA","CAJICÁ"
"25148","CUNDINAMARCA","CAPARRAPÍ"
"25151","CUNDINAMARCA","CÁQUEZA"
"25154","CUNDINAMARCA","CARMEN DE CARUPA"
"25168","CUNDINAMARCA","CHAGUANÍ"
"25175","CUNDINAMARCA","CHÍA"
"25178","CUNDINAMARCA","CHIPAQUE"
"25181","CUNDINAMARCA","CHOACHÍ"
"25183","CUNDINAMARCA","CHOCONTÁ"
"25200","CUNDINAMARCA","COGUA"
"25214","CUNDINAMARCA","COTA"
"25224","CUNDINAMARCA","CUCUNUBÁ"
"25245","CUNDINAMARCA","EL COLEGIO"
"25258","CUNDINAMARCA","EL PEÑÓN"
"25260","CUNDINAMARCA","EL ROSAL"
"25269","CUNDINAMARCA","FACATATIVÁ"
"25279","CUNDINAMARCA","FÓMEQUE"
"25281","CUNDINAMARCA","FOSCA"
"25286","CUNDINAMARCA","FUNZA"
"25288","CUNDINAMARCA","FÚQUENE"
"25290","CUNDINAMARCA","FUSAGASUGÁ"
"25293","CUNDINAMARCA","GACHALÁ"
"25295","CUNDINAMARCA","GACHANCIPÁ"
"25297","CUNDINAMARCA","GACHETÁ"
"25299","CUNDINAMARCA","GAMA"
"25307","CUNDINAMARCA","GIRARDOT"
"25312","CUNDINAMARCA","GRANADA"
"25317","CUNDINAMARCA","GUACHETÁ"
"25320","CUNDINAMARCA","GUADUAS"
"25322","CUNDINAMARCA","GUASCA"
"25324","CUNDINAMARCA","GUATAQUÍ"
"25326","CUNDINAMARCA","GUATAVITA"
"25328","CUNDINAMARCA","GUAYABAL DE SÍQUIMA"
"25335","CUNDINAMARCA","GUAYABETAL"
"25339","CUNDINAMARCA","GUTIÉRREZ"
"25368","CUNDINAMARCA","JERUSALÉN"
"25372","CUNDINAMARCA","JUNÍN"
"25377","CUNDINAMARCA","LA CALERA"
"25386","CUNDINAMARCA","LA MESA"
"25394","CUNDINAMARCA","LA PALMA"
"25398","CUNDINAMARCA","LA PEÑA"
"25402","CUNDINAMARCA","LA VEGA"
"25407","CUNDINAMARCA","LENGUAZAQUE"
"25426","CUNDINAMARCA","MACHETÁ"
"25430","CUNDINAMARCA","MADRID"
"25436","CUNDINAMARCA","MANTA"
"25438","CUNDINAMARCA","MEDINA"
"25473","CUNDINAMARCA","MOSQUERA"
"25483","CUNDINAMARCA","NARIÑO"
"25486","CUNDINAMARCA","NEMOCÓN"
"25488","CUNDINAMARCA","NILO"
"25489","CUNDINAMARCA","NIMAIMA"
"25491","CUNDINAMARCA","NOCAIMA"
"25506","CUNDINAMARCA","VENECIA"
"25513","CUNDINAMARCA","PACHO"
"25518","CUNDINAMARCA","PAIME"
"25524","CUNDINAMARCA","PANDI"
"25530","CUNDINAMARCA","PARATEBUENO"
"25535","CUNDINAMARCA","PASCA"
"25572","CUNDINAMARCA","PUERTO SALGAR"
"25580","CUNDINAMARCA","PULÍ"
"25592","CUNDINAMARCA","QUEBRADANEGRA"
"25594","CUNDINAMARCA","QUETAME"
"25596","CUNDINAMARCA","QUIPILE"
"25599","CUNDINAMARCA","APULO"
"25612","CUNDINAMARCA","RICAURTE"
"25645","CUNDINAMARCA","SAN ANTONIO DEL TEQUENDAMA"
"25649","CUNDINAMARCA","SAN BERNARDO"
"25653","CUNDINAMARCA","SAN CAYETANO"
"25658","CUNDINAMARCA","SAN FRANCISCO"
"25662","CUNDINAMARCA","SAN JUAN DE RIOSECO"
"25718","CUNDINAMARCA","SASAIMA"
"25736","CUNDINAMARCA","SESQUILÉ"
"25740","CUNDINAMARCA","SIBATÉ"
"25743","CUNDINAMARCA","SILVANIA"
"25745","CUNDINAMARCA","SIMIJACA"
"25754","CUNDINAMARCA","SOACHA"
"25758","CUNDINAMARCA","SOPÓ"
"25769","CUNDINAMARCA","SUBACHOQUE"
"25772","CUNDINAMARCA","SUESCA"
"25777","CUNDINAMARCA","SUPATÁ"
"25779","CUNDINAMARCA","SUSA"
"25781","CUNDINAMARCA","SUTATAUSA"
"25785","CUNDINAMARCA","TABIO"
"25793","CUNDINAMARCA","TAUSA"
"25797","CUNDINAMARCA","TENA"
"25799","CUNDINAMARCA","TENJO"
"25805","CUNDINAMARCA","TIBACUY"
"25807","CUNDINAMARCA","TIBIRITA"
"25815","CUNDINAMARCA","TOCAIMA"
"25817","CUNDINAMARCA","TOCANCIPÁ"
"25823","CUNDINAMARCA","TOPAIPÍ"
"25839","CUNDINAMARCA","UBALÁ"
"25841","CUNDINAMARCA","UBAQUE"
"25843","CUNDINAMARCA","VILLA DE SAN DIEGO DE UBATÉ"
"25845","CUNDINAMARCA","UNE"
"25851","CUNDINAMARCA","ÚTICA"
"25862","CUNDINAMARCA","VERGARA"
"25867","CUNDINAMARCA","VIANÍ"
